total_units,stable_core_units,premium_upside_units,premium_share,expected_ttm_revenue,expected_annual_volatility,risk_adjusted_score,portfolio_adr,portfolio_occupancy,portfolio_revpar,expected_off_peak_revenue
17,4,13,0.7647,640017.6917,32644.7994,19.6055,255.415,0.3731,92.6128,345470.838
17,3,14,0.8235,652179.8937,33348.3562,19.5566,263.7013,0.3657,94.2997,351177.228
17,2,15,0.8824,664342.0957,34037.3734,19.518,271.9877,0.3583,95.9866,356883.618
17,1,16,0.9412,676504.2977,34712.717,19.4887,280.274,0.3509,97.6734,362590.008
17,0,17,1.0,688666.4997,35375.17,19.4675,288.5603,0.3435,99.3603,368296.398
18,18,0,0.0,510256.6578,22119.5802,23.0681,147.6928,0.4692,70.6836,287245.872
18,17,1,0.0556,522418.8598,23145.3183,22.5713,155.5188,0.4622,72.2768,292952.262
18,16,2,0.1111,534581.0618,24127.4882,22.1565,163.3447,0.4552,73.8699,298658.652
18,15,3,0.1667,546743.2638,25071.211,21.8076,171.1707,0.4482,75.463,304365.042
18,14,4,0.2222,558905.4658,25980.6765,21.5124,178.9967,0.4413,77.0562,310071.432
18,13,5,0.2778,571067.6678,26859.3648,21.2614,186.8227,0.4343,78.6494,315777.822
18,12,6,0.3333,583229.8698,27710.2041,21.0475,194.6486,0.4273,80.2425,321484.212
18,11,7,0.3889,595392.0718,28535.6854,20.8648,202.4746,0.4203,81.8356,327190.602
18,10,8,0.4444,607554.2738,29337.9493,20.7088,210.3006,0.4133,83.4288,332896.992
18,9,9,0.5,619716.4758,30118.8512,20.5757,218.1266,0.4064,85.022,338603.382
18,8,10,0.5556,631878.6778,30880.0118,20.4624,225.9525,0.3994,86.6151,344309.772
18,7,11,0.6111,644040.8798,31622.8566,20.3663,233.7785,0.3924,88.2082,350016.162
18,6,12,0.6667,656203.0818,32348.6474,20.2853,241.6045,0.3854,89.8014,355722.552
18,5,13,0.7222,668365.2838,33058.5075,20.2176,249.4304,0.3784,91.3946,361428.942
18,4,14,0.7778,680527.4858,33753.4421,20.1617,257.2564,0.3714,92.9877,367135.332
18,3,15,0.8333,692689.6878,34434.3547,20.1162,265.0824,0.3644,94.5808,372841.722
18,2,16,0.8889,704851.8898,35102.0614,20.0801,272.9084,0.3575,96.174,378548.112
18,1,17,0.9444,717014.0918,35757.3019,20.0522,280.7343,0.3505,97.7672,384254.502
18,0,18,1.0,729176.2938,36400.7496,20.0319,288.5603,0.3435,99.3603,389960.892
19,19,0,0.0,538604.2499,22725.7083,23.7002,147.6928,0.4692,70.6836,303203.976
19,18,1,0.0526,550766.4519,23725.2555,23.2144,155.1069,0.4626,72.1929,308910.366
19,17,2,0.1053,562928.6539,24684.361,22.8051,162.521,0.456,73.7022,314616.756
19,16,3,0.1579,575090.8559,25607.5694,22.4578,169.935,0.4494,75.2115,320323.146
19,15,4,0.2105,587253.0579,26498.6328,22.1616,177.3491,0.4427,76.7208,326029.536
19,14,5,0.2632,599415.2599,27360.6921,21.9079,184.7632,0.4361,78.2301,331735.926
19,13,6,0.3158,611577.4619,28196.4076,21.6899,192.1773,0.4295,79.7394,337442.316
19,12,7,0.3684,623739.6639,29008.0563,21.5023,199.5914,0.4229,81.2487,343148.706
19,11,8,0.4211,635901.8659,29797.6049,21.3407,207.0054,0.4163,82.758,348855.096
19,10,9,0.4737,648064.0679,30566.7661,21.2016,214.4195,0.4097,84.2673,354561.486
19,9,10,0.5263,660226.2699,31317.042,21.082,221.8336,0.403,85.7766,360267.876
19,8,11,0.5789,672388.4719,32049.759,20.9795,229.2477,0.3964,87.2859,365974.266
19,7,12,0.6316,684550.6739,32766.095,20.892,236.6617,0.3898,88.7952,371680.656
19,6,13,0.6842,696712.8759,33467.1019,20.8178,244.0758,0.3832,90.3045,377387.046
19,5,14,0.7368,708875.0779,34153.7237,20.7554,251.4899,0.3766,91.8138,383093.436
19,4,15,0.7895,721037.2799,34826.8111,20.7035,258.904,0.37,93.3231,388799.826
19,3,16,0.8421,733199.4819,35487.1343,20.661,266.3181,0.3633,94.8324,394506.216
19,2,17,0.8947,745361.6839,36135.3931,20.6269,273.7321,0.3567,96.3417,400212.606
19,1,18,0.9474,757523.8859,36772.2254,20.6004,281.1462,0.3501,97.851,405918.996
19,0,19,1.0,769686.0879,37398.2151,20.5808,288.5603,0.3435,99.3603,411625.386
20,20,0,0.0,566951.842,23316.0848,24.3159,147.6928,0.4692,70.6836,319162.08
20,19,1,0.05,579114.044,24291.3511,23.8403,154.7362,0.4629,72.1174,324868.47
20,18,2,0.1,591276.246,25228.9451,23.4364,161.7796,0.4566,73.5513,330574.86
20,17,3,0.15,603438.448,26132.9218,23.0911,168.8229,0.4503,74.9851,336281.25
20,16,4,0.2,615600.65,27006.6571,22.7944,175.8663,0.4441,76.4189,341987.64
20,15,5,0.25,627762.852,27852.9973,22.5384,182.9097,0.4378,77.8528,347694.03
20,14,6,0.3,639925.054,28674.3682,22.317,189.953,0.4315,79.2866,353400.42
20,13,7,0.35,652087.256,29472.8574,22.125,196.9964,0.4252,80.7204,359106.81
20,12,8,0.4,664249.458,30250.2769,21.9585,204.0398,0.4189,82.1543,364813.2
20,11,9,0.45,676411.66,31008.2115,21.814,211.0832,0.4126,83.5881,370519.59
20,10,10,0.5,688573.862,31748.0568,21.6887,218.1266,0.4064,85.0219,376225.98
20,9,11,0.55,700736.064,32471.0493,21.5803,225.1699,0.4001,86.4558,381932.37
20,8,12,0.6,712898.266,33178.2907,21.4869,232.2133,0.3938,87.8896,387638.76
20,7,13,0.65,725060.468,33870.7677,21.4067,239.2567,0.3875,89.3235,393345.15
20,6,14,0.7,737222.67,34549.368,21.3382,246.3,0.3812,90.7573,399051.54
20,5,15,0.75,749384.872,35214.894,21.2803,253.3434,0.3749,92.1911,404757.93
20,4,16,0.8,761547.074,35868.0734,21.2319,260.3868,0.3686,93.625,410464.32
20,3,17,0.85,773709.276,36509.5689,21.192,267.4302,0.3624,95.0588,416170.71
20,2,18,0.9,785871.478,37139.9859,21.1597,274.4736,0.3561,96.4926,421877.1
20,1,19,0.95,798033.68,37759.8793,21.1344,281.5169,0.3498,97.9265,427583.49
20,0,20,1.0,810195.882,38369.7591,21.1155,288.5603,0.3435,99.3603,433289.88
