listing_id,listing_name,room_type,cluster_id,guests,bedrooms,baths,cleaning_fee,num_reviews_x,rating_overall,superhost,professional_management,ttm_avg_rate,ttm_occupancy
24679994,*Sanitized Safe* 2 Bdr Plaza Midwood 2 Duplex Home,entire_home,0,4.0,2.0,1.0,75.0,104,4.77,1,0,113.6,0.386
31290402,Uptown with Fitness Center & Walk to Starbucks,entire_home,0,3.0,1.0,1.0,90.0,320,4.63,0,0,165.8,0.386
24754446,"CLT Home (near Uptown, NoDa, Plaza Midwood)",entire_home,0,4.0,2.0,2.0,85.0,257,4.85,1,0,146.6,0.416
32214511,Your Home Away From Home!,entire_home,1,6.0,3.0,2.5,0.0,57,4.98,1,0,181.2,0.312
33074838,King Bed Suite - 5 ⭐️ long-term stay in SouthPark,entire_home,0,2.0,1.0,1.0,50.0,221,4.78,0,0,162.7,0.419
17793078,ℒ𝓊𝓍ℯ ✯ Uptown Smart Loft Staycation,entire_home,0,4.0,1.0,1.0,0.0,96,4.99,1,0,633.0,0.633
31036661,Caught in the City,entire_home,0,4.0,2.0,1.0,100.0,295,4.91,1,0,156.6,0.685
31173406,Charming Walkable Retreat w/Fenced Yard for Dog,entire_home,0,5.0,2.0,1.0,95.0,173,5.0,1,0,297.4,0.584
16571175,A Cozy Uptown Retreat.,entire_home,0,2.0,1.0,1.0,0.0,313,4.95,1,0,136.3,0.148
27055159,"New Studio Apt, Historic Dilworth, walk Uptown CLT",entire_home,0,2.0,1.0,1.0,25.0,201,4.94,1,0,100.6,0.663
16221369,Elegant Uptown Condo with Fantastic View,entire_home,0,2.0,1.0,1.0,0.0,85,4.62,0,0,121.0,0.17
25259369,"Charming 1937 Duplex, side 2",entire_home,0,4.0,1.0,1.0,90.0,316,4.7,1,0,141.1,0.71
33271724,"Centrally Located Guest Home by Greenway, Uptown",entire_home,0,3.0,1.0,1.0,85.0,612,4.87,0,0,147.2,0.592
20725765,"Charlotte Condo: 2BR, Porch, Free Parking & Pets O",entire_home,0,6.0,2.0,2.0,140.0,108,4.91,1,1,226.7,0.63
20186308,Relaxing bed and bath,entire_home,0,4.0,1.0,1.0,20.0,223,4.95,1,0,98.8,0.071
14314731,Spacious & Open Concept South Charlotte Home,entire_home,0,4.0,2.0,2.0,0.0,48,4.98,1,0,105.1,0.304
20725279,Classic 1BR King Condo | Elizabeth-Plaza Midwood,entire_home,0,4.0,1.0,1.0,95.0,54,4.76,1,1,167.1,0.255
25580293,"Full Apartment connected to home, South Charlotte",entire_home,0,2.0,1.0,1.0,40.0,445,4.97,1,0,79.2,0.592
20851164,Home away from home!,entire_home,1,8.0,4.0,2.5,150.0,141,4.8,1,0,202.6,0.54
