term,ttm_occupancy,ttm_avg_rate,ttm_revenue
bed private,-0.18754398354734805,0.04022499898184582,-0.08505794777058295
bed quiet,-0.11471280759866599,-0.06675198103319063,-0.08896833500662427
bed suite,-0.04893658772427603,-0.015037737132808935,-0.044522621169472795
bed_linens,0.1868659495926018,-0.01385030912819573,0.08025705737415381
bed_linens clothing_storage,0.02630215549330372,0.02229580477132448,0.043813021181517794
bed_linens ethernet_connection,-0.015013498276600921,0.026501424262470912,0.04157761657918174
bed_linens extra_pillows_and_blankets,0.13104595211656986,-0.02311516573860408,0.03437880532571472
bed_linens free_street_parking,-0.013096807701337183,0.03626373417219418,0.019149708712391973
bed_linens iron,0.06015596036616138,0.03699193093349866,0.07601071843111887
bed_linens microwave,0.026319088209871912,-0.035842765337500755,-0.011954137812445972
bed_linens outdoor_furniture,-0.06499253759951173,0.030920931973932787,-0.01566790282142647
bed_linens roomdarkening_shades,-0.027011028965835227,-0.06495776536978816,-0.07504970823462695
bedroom,0.03392238306558923,0.2740331498750539,0.28728561827062926
bedroom bath,0.050284166596358405,0.4149962405818326,0.4879814297626774
bedroom bathtub,-0.12706919709062084,-0.04041928709913342,-0.07425141655752743
bedroom city,-0.03688596929411765,0.25835677905618326,0.19197198722685782
bedroom condo,0.09396058037820579,-0.07013351075062639,-0.029300592531383823
bedroom home,-0.07334749297669309,0.06657366950638664,-0.00987992705344533
bedroom myers,0.05064661234862149,0.03424854906710601,0.07162079197320295
bedroom townhouse,-0.03293552805982557,0.0020272696784129616,-0.017183071610217267
bedrooms,0.018042462681923777,0.2526999164574296,0.2896289975789729
bedrooms dilworth,0.018042462681923777,0.2526999164574296,0.2896289975789729
beds,-0.00012357139229948058,-0.02189293388035586,-0.003973677660057891
beds ba,0.004464227098700781,-0.013434626253499261,-0.01045496830113488
beds king,-0.0024496638774779192,-0.017652385860292767,0.0009455181841166897
bidet,-0.012500543400750462,0.268228781560384,0.23648518684350722
bidet essentials,-0.036620288219221815,0.07271616824831899,0.0025999387211244123
bidet hot_water,0.011202847068046194,0.27754341362373197,0.2893754311572233
big,-0.09009251266367381,-0.07695269449238777,-0.09045360064862633
big bright,-0.09009251266367381,-0.07695269449238777,-0.09045360064862633
bikes,0.0901421947008858,0.016136189396399776,0.06302889054930208
bikes bathtub,-0.06773342470953449,-0.0021024436025379564,-0.03637056051604581
bikes free_parking_on_premises,-0.06773342470953449,-0.0021024436025379564,-0.03637056051604581
bikes sun_loungers,0.1373776475989018,0.019318179428642435,0.09027414478655914
bird,-0.014475040372177428,-0.03923112004905203,-0.02761273170790157
bird nest,-0.014475040372177428,-0.03923112004905203,-0.02761273170790157
blender,-0.054740173079761936,0.328734904590569,0.2695064903880653
blender babysitter_recommendations,-0.08279964145798877,0.0500679978369575,-0.03230233955267262
blender barbecue_utensils,-0.03932613323579403,0.24876495028746673,0.240236129672821
blender coffee,0.13373668770985864,-0.11567260513786401,-0.06857184512659287
blender dining_table,-0.06448686733579989,0.15366057724809293,0.09876180675127987
blender fireplace_guards,-0.032424788209611206,0.010191467542474821,-0.015086182161179698
blender hot_water,-0.006345842473661339,-0.06836153543961038,-0.07083071065797136
blender pack_n_playtravel_crib,-0.10915104913338829,0.13896130812792515,0.031012019933094628
blender patio_or_balcony,0.127922781067792,-0.03063517509287168,0.05645557344469706
blender private_entrance,-0.01807798509841878,-0.036822510599608296,-0.04129005571002714
blender rice_maker,0.02684055657134917,0.20087881417250417,0.20285409851577138
blender roomdarkening_shades,-0.054268239385561155,0.012734275413494525,-0.027503064622369528
blender trash_compactor,-0.15845239828596755,0.06499889928280454,-0.0513185949813603
blender wifi,-0.013096807701337183,0.03626373417219418,0.019149708712391973
bluedoor,-0.03568461296348716,-0.06098994914953617,-0.06704587836414892
bluedoor uptown,-0.03568461296348716,-0.06098994914953617,-0.06704587836414892
bnb,0.251018726651737,-0.05306565873260207,0.02537467484333848
bnb llc,0.251018726651737,-0.05306565873260207,0.02537467484333848
board_games,0.03594881575422013,0.06285045774599553,0.059040816707091597
board_games air_conditioning,0.08117939182127844,0.045146944674678814,0.06839772435851861
board_games baby_safety_gates,-0.047754779510176225,0.0064281112478583495,-0.01479693020023912
board_games babysitter_recommendations,0.01066892866219421,0.002752609648743413,0.026113092657027083
board_games free_parking_on_premises,-0.06829432575773521,0.045192922543324444,-0.010881886740609043
boat_slip,0.022939992624587544,0.09073515137941514,0.08828081179669954
boat_slip free_parking_on_premises,0.02440995656114347,0.08487854466928235,0.07482610449579141
boat_slip sun_loungers,0.004569558893274725,0.03579337171137237,0.04660157647371895
body_soap,0.04641533640462605,0.07255313380046335,0.06296616739357803
body_soap bed_linens,-0.13944148421352717,0.026842707841539325,-0.08712230274950963
body_soap bidet,0.011202847068046194,0.27754341362373197,0.2893754311572233
body_soap extra_pillows_and_blankets,-0.09528093143277447,-0.01995884940220574,-0.05492122446337815
body_soap hot_water,0.0942939245327396,0.024230459568525518,0.051074543748033836
body_soap outdoor_shower,0.020338582936670676,0.008071131623012059,0.01922465551486042
boho,-0.08465181501122859,0.046659986583219556,-0.016483346297619647
